name,address,postcode,indicator,postcode_used,lat,lng
LiHO @ Bukit Batok,"Bukit Batok MRT Station (NS2)#01-07,10 Bukit Batok Central, 659958",659958,Liho,659958,1.349046,103.7495689
LiHO @ Bukit Panjang Plaza,"Bukit Panjang Plaza #01-21,1 Jelebu Road, 677743",677743,Liho,677743,1.379962,103.7641529
LiHO @ Junction 10,"Junction 10 #01-26,1 Woodlands Road, 677899",677899,Liho,677899,1.37978,103.760383
LiHO @ Lot One Shoppers' Mall,"Lot One Shoppers' Mall #B1-K30,21 Choa Chu Kang Avenue 4, 689812",689812,Liho,689812,1.384848,103.745046
LiHO @ Woodlands MRT Xchange,"Woodlands MRT Station (NS9) #01-16,30 Woodlands Avenue 2, 738343",738343,Liho,738343,1.437284,103.787152
LiHO @ Hougang Mall,"Hougang Mall #02-24,90 Hougang Avenue 10, 538766",538766,Liho,538766,1.372629,103.893938
LiHO @ The Cathay,"The Cathay #01-10,2 Handy Road, 229233",229233,Liho,229233,1.2993889,103.847398
LiHO @ JCube,"JCube #02-77,2 Jurong East Central 1, 609731",609731,Liho,609731,1.33352,103.740277
LiHO @ VivoCity,"VivoCity #01-111,1 Harbourfront Walk, 098585",098585,Liho,098585,1.264613,103.823012
LiHO @ Square 2,"Square 2 #01-172,10 Sinaran Drive, 307506",307506,Liho,307506,1.321061,103.844476
LiHO @ The Central,"The Central #B1-25,6 Eu Tong Sen Street, 059817",059817,Liho,059817,1.288424,103.846694
LiHO @ Ang Mo Kio Hub,"Ang Mo Kio (AMK) Hub #02-66,53 Ang Mo Kio Avenue 3, 569933",569933,Liho,569933,1.369017,103.848122
LiHO @ Bedok Point,"Bedok Point #02-30,799 New Upper Changi Road, 467351",467351,Liho,467351,1.324516,103.932292
LiHO @ Yew Tee Point,"Yew Tee Point #01-49/50,21 Choa Chu Kang North 6, 689578",689578,Liho,689578,1.39729,103.746546
LiHO @ Orchard Central,"Orchard Central#B1-02,181 Orchard Road, 238896",238896,Liho,238896,1.300934,103.840008
LiHO @ Bukit Merah,"163 Bukit Merah Central Market and Food Centre #01-3661,163 Bukit Merah Central, 150163",150163,Liho,150163,1.284152,103.816987
LiHO @ Gek Poh Shopping Centre,"Gek Poh Shopping Centre #01-328,762 Jurong West Street 75, 640762",640762,Liho,640762,1.349156,103.698195
LiHO @ China Square Central,"China Square Central #01-56,18 Cross Street, 048423",048423,Liho,048423,1.283384,103.846868
LiHO @ Marina Bay Sands,"The Shoppes at Marina Bay Sands #01-72,2 Bayfront Avenue, 018972",018972,Liho,018972,1.283949,103.858846
LiHO @ *SCAPE,"*SCAPE #02-10,2 Orchard Link, 237978",237978,Liho,237978,1.3010489,103.835327
LiHO @ Greenwich V,"Greenwich V #01-20,1 Seletar Road, 807011",807011,Liho,807011,1.352083,103.819836
LiHO @ Changi City Point,"Changi City Point #B1-41,5 Changi Business Park Central 1, 486038",486038,Liho,486038,1.3360557,103.9639813
LiHO @ Asia Square Tower 2,"Asia Square Tower 2 #02-08,12 Marina View, 018961",018961,Liho,018961,1.278295,103.850662
LiHO @ JEM,"Jurong East Mall (JEM) #B1-30,No. 50 Jurong Gateway Road, 608549",608549,Liho,608549,1.3330671,103.7436599
LiHO @ Paya Lebar Square,"Paya Lebar Square #01-50,60 Paya Lebar Road, 409051",409051,Liho,409051,1.318938,103.8926112
LiHO @ The Star Vista,"The Star Vista #01-40,1 Vista Exchange Green, 138617",138617,Liho,138617,1.306842,103.78844
